IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.229.220,1,1,0.00,113.02,0.00
172.66.40.241,1,1,0.00,161.37,0.00
104.19.168.12,1,1,0.00,161.92,0.00
104.17.24.180,1,1,0.00,161.95,0.00
104.19.23.162,1,1,0.00,162.00,0.00
172.64.37.86,1,1,0.00,162.08,0.00
104.16.184.106,1,1,0.00,162.16,0.00
172.65.236.206,1,1,0.00,162.17,0.00
104.16.186.74,1,1,0.00,162.19,0.00
104.17.218.247,1,1,0.00,162.21,0.00
104.16.97.109,1,1,0.00,162.24,0.00
104.16.81.162,1,1,0.00,162.25,0.00
104.17.186.98,1,1,0.00,162.27,0.00
198.41.206.47,1,1,0.00,162.28,0.00
104.16.80.246,1,1,0.00,162.30,0.00
104.17.215.193,1,1,0.00,162.32,0.00
104.17.17.224,1,1,0.00,162.35,0.00
172.64.49.161,1,1,0.00,162.37,0.00
172.64.148.184,1,1,0.00,162.38,0.00
104.19.162.243,1,1,0.00,162.39,0.00
172.65.255.59,1,1,0.00,162.40,0.00
162.159.27.245,1,1,0.00,162.42,0.00
172.66.41.45,1,1,0.00,162.45,0.00
104.18.105.150,1,1,0.00,162.49,0.00
172.64.81.229,1,1,0.00,162.53,0.00
104.16.194.232,1,1,0.00,162.53,0.00
104.16.52.210,1,1,0.00,162.55,0.00
104.18.104.185,1,1,0.00,162.61,0.00
104.17.20.111,1,1,0.00,162.62,0.00
104.19.18.225,1,1,0.00,162.63,0.00
172.65.252.63,1,1,0.00,162.64,0.00
104.16.91.204,1,1,0.00,162.64,0.00
104.16.77.189,1,1,0.00,162.65,0.00
172.66.43.92,1,1,0.00,162.65,0.00
198.41.197.79,1,1,0.00,162.66,0.00
104.16.187.142,1,1,0.00,162.68,0.00
104.16.183.142,1,1,0.00,162.68,0.00
104.19.172.23,1,1,0.00,162.73,0.00
104.17.193.229,1,1,0.00,162.75,0.00
172.64.42.213,1,1,0.00,162.77,0.00
104.17.195.42,1,1,0.00,162.78,0.00
172.64.41.175,1,1,0.00,162.81,0.00
172.64.80.242,1,1,0.00,162.83,0.00
104.16.92.187,1,1,0.00,162.83,0.00
172.65.201.207,1,1,0.00,162.85,0.00
172.64.155.12,1,1,0.00,162.85,0.00
104.17.210.220,1,1,0.00,162.88,0.00
104.16.75.37,1,1,0.00,162.89,0.00
104.17.209.206,1,1,0.00,162.95,0.00
172.64.231.219,1,1,0.00,162.97,0.00
104.17.211.149,1,1,0.00,162.99,0.00
104.17.9.31,1,1,0.00,163.01,0.00
172.64.149.31,1,1,0.00,163.06,0.00
172.65.221.216,1,1,0.00,163.08,0.00
104.19.20.189,1,1,0.00,163.08,0.00
172.64.94.211,1,1,0.00,163.12,0.00
104.16.79.251,1,1,0.00,163.12,0.00
104.17.19.70,1,1,0.00,163.13,0.00
162.159.3.138,1,1,0.00,163.13,0.00
172.65.220.217,1,1,0.00,163.13,0.00
104.17.207.204,1,1,0.00,163.22,0.00
